Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	AMMONIA_RE	METHANOL	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_METHANOL	TRUCK_ELEC	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	END_USE	
 10 	 11																																																																						0.193840	1.667024		0.348912		1.667024																																																																																											-3.876800	
 10 	 12																																																																						0.213225	1.833732		0.383804		1.833732																																																																																											-4.264492	
 10 	 13																																																																						0.193840	1.667024		0.348912		1.667024																																																																																											-3.876800	
 10 	 14																																																																						0.196263	1.687864		0.353274		1.687864																																																																																											-3.925266	
 10 	 15																																																																						0.220494	1.896245		0.396888		1.896245																																																																																											-4.409871	
 10 	 16																																																																						0.230186	1.979599		0.414335		1.979599																																																																																											-4.603717	
 10 	 17																																																																						0.230186	1.979599		0.414335		1.979599																																																																																											-4.603717	
 10 	 18																																																																						0.169611	1.458652		0.305299		1.458652																																																																																											-3.392215	
 10 	 19																																																																						0.121150	1.041892		0.218070		1.041892																																																																																											-2.423005	
 10 	 20																																																																						0.090863	0.781419		0.163553		0.781419																																																																																											-1.817254	
 10 	 21																																																																						0.060575	0.520946		0.109035		0.520946																																																																																											-1.211502	
 10 	 22																																																																						0.038768	0.333406		0.069783		0.333406																																																																																											-0.775362	
 10 	 23																																																																						0.024230	0.208378		0.043614		0.208378																																																																																											-0.484601	
 10 	 24																																																																						0.009692	0.083351		0.017446		0.083351																																																																																											-0.193840	
 11 	 1																																																																						0.006058	0.052095		0.010904		0.052095																																																																																											-0.121150	
 11 	 2																																																																						0.002423	0.020838		0.004361		0.020838																																																																																											-0.048460	
 11 	 3																																																																						0.001212	0.010419		0.002181		0.010419																																																																																											-0.024230	
 11 	 4																																																																						0.014538	0.125027		0.026168		0.125027																																																																																											-0.290761	
 11 	 5																																																																						0.038768	0.333406		0.069783		0.333406																																																																																											-0.775362	
 11 	 6																																																																						0.096920	0.833514		0.174456		0.833514																																																																																											-1.938404	
 11 	 7																																																																						0.187783	1.614931		0.338009		1.614931																																																																																											-3.755653	
 11 	 8																																																																						0.163552	1.406551		0.294394		1.406551																																																																																											-3.271048	
 11 	 9																																																																						0.151438	1.302365		0.272588		1.302365																																																																																											-3.028756	
 11 	 10																																																																						0.169611	1.458652		0.305299		1.458652																																																																																											-3.392215	
 11 	 11																																																																						0.193840	1.667024		0.348912		1.667024																																																																																											-3.876800	
 11 	 12																																																																						0.213225	1.833732		0.383804		1.833732																																																																																											-4.264492	
 11 	 13																																																																						0.193840	1.667024		0.348912		1.667024																																																																																											-3.876800	
 11 	 14																																																																						0.196263	1.687864		0.353274		1.687864																																																																																											-3.925266	
 11 	 15																																																																						0.220494	1.896245		0.396888		1.896245																																																																																											-4.409871	
 11 	 16																																																																						0.230186	1.979599		0.414335		1.979599																																																																																											-4.603717	
 11 	 17																																																																						0.230186	1.979599		0.414335		1.979599																																																																																											-4.603717	
 11 	 18																																																																						0.169611	1.458652		0.305299		1.458652																																																																																											-3.392215	
 11 	 19																																																																						0.121150	1.041892		0.218070		1.041892																																																																																											-2.423005	
 11 	 20																																																																						0.090863	0.781419		0.163553		0.781419																																																																																											-1.817254	
 11 	 21																																																																						0.060575	0.520946		0.109035		0.520946																																																																																											-1.211502	
 11 	 22																																																																						0.038768	0.333406		0.069783		0.333406																																																																																											-0.775362	
 11 	 23																																																																						0.024230	0.208378		0.043614		0.208378																																																																																											-0.484601	
 11 	 24																																																																						0.009692	0.083351		0.017446		0.083351																																																																																											-0.193840	
 12 	 1																																																																						0.006058	0.052095		0.010904		0.052095																																																																																											-0.121150	
 12 	 2																																																																						0.002423	0.020838		0.004361		0.020838																																																																																											-0.048460	
 12 	 3																																																																						0.001212	0.010419		0.002181		0.010419																																																																																											-0.024230	
 12 	 4																																																																						0.014538	0.125027		0.026168		0.125027																																																																																											-0.290761	
 12 	 5																																																																						0.038768	0.333406		0.069783		0.333406																																																																																											-0.775362	
 12 	 6																																																																						0.096920	0.833514		0.174456		0.833514																																																																																											-1.938404	
 12 	 7																																																																						0.187783	1.614931		0.338009		1.614931																																																																																											-3.755653	
 12 	 8																																																																						0.163552	1.406551		0.294394		1.406551																																																																																											-3.271048	
 12 	 9																																																																						0.151438	1.302365		0.272588		1.302365																																																																																											-3.028756	
 12 	 10																																																																						0.169611	1.458652		0.305299		1.458652																																																																																											-3.392215	
 12 	 11																																																																						0.193840	1.667024		0.348912		1.667024																																																																																											-3.876800	
 12 	 12																																																																						0.213225	1.833732		0.383804		1.833732																																																																																											-4.264492	
 12 	 13																																																																						0.193840	1.667024		0.348912		1.667024																																																																																											-3.876800	
 12 	 14																																																																						0.196263	1.687864		0.353274		1.687864																																																																																											-3.925266	
 12 	 15																																																																						0.220494	1.896245		0.396888		1.896245																																																																																											-4.409871	
 12 	 16																																																																						0.230186	1.979599		0.414335		1.979599																																																																																											-4.603717	
 12 	 17																																																																						0.230186	1.979599		0.414335		1.979599																																																																																											-4.603717	
 12 	 18																																																																						0.169611	1.458652		0.305299		1.458652																																																																																											-3.392215	
 12 	 19																																																																						0.121150	1.041892		0.218070		1.041892																																																																																											-2.423005	
 12 	 20																																																																						0.090863	0.781419		0.163553		0.781419																																																																																											-1.817254	
 12 	 21																																																																						0.060575	0.520946		0.109035		0.520946																																																																																											-1.211502	
 12 	 22																																																																						0.038768	0.333406		0.069783		0.333406																																																																																											-0.775362	
 12 	 23																																																																						0.024230	0.208378		0.043614		0.208378																																																																																											-0.484601	
 12 	 24																																																																						0.009692	0.083351		0.017446		0.083351																																																																																											-0.193840	
