Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	AMMONIA_RE	METHANOL	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_METHANOL	TRUCK_ELEC	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	END_USE	
 1 	 1						21.784024																																						-1.778438												-0.028690											-19.976896																											0.000000																																																																								0.000000	
 1 	 2						22.204208																																						-1.778438												-0.046035											-20.379735																											0.000000																																																																								0.000000	
 1 	 3						22.729393																																						-1.778438												-0.067715											-20.883240																											0.000000																																																																								0.000000	
 1 	 4						22.939455																																						-1.778438												-0.076387											-21.084631																											0.000000																																																																								0.000000	
 1 	 5						23.254578																																						-1.778438												-0.089396											-21.386745																											0.000000																																																																								0.000000	
 1 	 6						23.464640																																						-1.778438												-0.098067											-21.588135																											0.000000																																																																								0.000000	
 1 	 7						23.674763																																						-1.778438												-0.106742											-21.789584																											0.000000																																																																								0.000000	
 1 	 8						23.779764																																						-1.778438												-0.111076											-21.890250																											0.000000																																																																								0.000000	
 1 	 9						23.779764																																						-1.778438												-0.111076											-21.890250																											0.000000																																																																								0.000000	
 1 	 10						22.833422																																						-1.778438												-0.072050											-20.982935																											0.000000																																																																								0.000000	
 1 	 11						21.780544																																						-1.778438												-0.028690											-19.973417																											0.000000																																																																								0.000000	
 1 	 12						20.528308																																						-1.778438												-0.000001											-18.749869																											0.000000																																																																								0.000000	
 1 	 13						19.822203																																						-1.778438												-0.000001											-18.043764																											0.000000																																																																								0.000000	
 1 	 14						19.512944																																						-1.778438												-0.000001											-17.734505																											0.000000																																																																								0.000000	
 1 	 15						19.487432																																						-1.778438												-0.000001											-17.708993																											0.000000																																																																								0.000000	
 1 	 16						19.896110																																						-1.778438												-0.000001											-18.117671																											0.000000																																																																								0.000000	
 1 	 17						20.748267																																						-1.778438												-0.000001											-18.969828																											0.000000																																																																								0.000000	
 1 	 18						21.258839																																						-1.778438												-0.007010											-19.473391																											0.000000																																																																								0.000000	
 1 	 19						21.784024																																						-1.778438												-0.028690											-19.976896																											0.000000																																																																								0.000000	
 1 	 20						22.414270																																						-1.778438												-0.054707											-20.581126																											0.000000																																																																								0.000000	
 1 	 21						22.939455																																						-1.778438												-0.076387											-21.084631																											0.000000																																																																								0.000000	
 1 	 22						23.464640																																						-1.778438												-0.098067											-21.588135																											0.000000																																																																								0.000000	
 1 	 23						24.094887																																						-1.778438												-0.124085											-22.192365																											0.000000																																																																								0.000000	
 1 	 24						24.620131																																						-1.778438												-0.145765											-22.695928																											0.000000																																																																								0.000000	
 2 	 1						15.612376																																						-1.778438												-0.000001											-13.833938																											0.000000																																																																								0.000000	
 2 	 2						16.015215																																						-1.778438												-0.000001											-14.236777																											0.000000																																																																								0.000000	
 2 	 3						16.518720																																						-1.778438												-0.000001											-14.740282																											0.000000																																																																								0.000000	
 2 	 4						16.820835																																						-1.778438												-0.000001											-15.042396																											0.000000																																																																								0.000000	
 2 	 5						17.022225																																						-1.778438												-0.000001											-15.243787																											0.000000																																																																								0.000000	
 2 	 6						17.324340																																						-1.778438												-0.000001											-15.545901																											0.000000																																																																								0.000000	
 2 	 7						17.525731																																						-1.778438												-0.000002											-15.747291																											0.000000																																																																								0.000000	
 2 	 8						17.626453																																						-1.778435												-0.000002											-15.848016																											0.000000																																																																								0.000000	
 2 	 9						17.525730																																						-1.778437												-0.000002											-15.747291																											0.000000																																																																								0.000000	
 2 	 10						16.399628																																						-1.778438												-0.000001											-14.621189																											0.000000																																																																								0.000000	
 2 	 11						15.376587																																						-1.778438												-0.000001											-13.598148																											0.000000																																																																								0.000000	
 2 	 12						14.334762																																						-1.778438												-0.000001											-12.556324																											0.000000																																																																								0.000000	
